Type,Number,Expiry,Limit,Locked
"VISA",4111111111111111,0399,1000,false
"VISA",4222222222222220,0599,2000,false
"VISA",4222222222222,0199,1000,false
"VISA",4444444444444448,0399,1000,true
"VISA",4999999999999996,1229,1000,false
"MASTERCARD",5555555555555557,0399,1000,false
"MASTERCARD",5555555555554444,0599,2000,false
"MASTERCARD",5431111111111111,0199,1000,false
"MASTERCARD",5105105105105100,0399,1000,true
"AMEX",341111111111111,0399,1000,false
"AMEX",378282246310005,0599,2000,false
"AMEX",371449635398431,0199,1000,false
"AMEX",378734493671000,0399,1000,true
"DINERS",30000000000004,0399,1000,false
"DINERS",36300540133875,0599,2000,false
"DINERS",30569309025904,0199,1000,false
"DISCOVER",6011111111111117,0399,1000,false
"DISCOVER",6500000000000002,0599,2000,false
"DISCOVER",6011000990139424,0199,1000,false
"DISCOVER",6011601160116611,0399,1000,true
"INSTAPAYMENT",6373936375413581,0399,1000,false
"JCB",3535353535353537,0399,1000,false
"JCB",3530111333300000,0599,2000,false
"JCB",3566002020360505,0199,1000,false
"LASER",6709000000000001,0399,1000,false
"LASER",6771952727724268,0599,2000,false
"LASER",6706253647758969,0199,1000,false
"MAESTRO",5018000000000009,0399,1000,false
"MAESTRO",5020000000000005,0599,2000,false
"MAESTRO",5038000000000005,0199,1000,false
"MAESTRO",5893000000000009,0399,1000,true
